Model,GridType,GridSize,MinTime,MedianTime,MeanTime,MaxTime,Memory,Allocs,NumSamples
Hydrostatic,RectilinearGrid,32,6.479917e6,6.5006275e6,6.7087517e6,7.876902e6,1095392,3083,10
Hydrostatic,RectilinearGrid,64,4.4351105e7,4.45959225e7,4.46263934e7,4.5086523e7,1095392,3083,10
Hydrostatic,RectilinearGrid,128,3.87074353e8,3.876018205e8,3.878306496e8,3.90733321e8,1095392,3083,10
Nonhydrostatic,RectilinearGrid,32,9.5497866e7,9.582075e7,9.59245601e7,9.7205671e7,576760,1566,10
Nonhydrostatic,RectilinearGrid,64,7.66903583e8,7.67614296e8,7.677295918571428e8,7.69450522e8,576760,1566,10
Nonhydrostatic,RectilinearGrid,128,7.887609544e9,7.887609544e9,7.887609544e9,7.887609544e9,576760,1566,10
